Mod:Item:MetaData, Localized Name
thermalfoundation:tool.pickaxe_steel, Стальная кирка
thermalfoundation:tool.axe_steel, Стальной топор
thermalfoundation:tool.hoe_steel, Стальная мотыга
thermalfoundation:tool.bow_steel, Стальной укрепленный лук
thermalfoundation:tool.fishing_rod_steel, Стальная удочка
thermalfoundation:tool.shears_steel, Стальные ножницы
thermalfoundation:tool.sickle_steel, Стальной серп
thermalfoundation:tool.hammer_steel, Стальной молот
thermalfoundation:tool.shield_steel, Стальной щит
thermalfoundation:tool.sword_electrum, Электрумовый меч
thermalfoundation:tool.shovel_electrum, Электрумовая лопата
thermalfoundation:tool.pickaxe_electrum, Электрумовая кирка
thermalfoundation:tool.axe_electrum, Электрумовый топор
thermalfoundation:tool.hoe_electrum, Электрумовая мотыга
thermalfoundation:tool.bow_electrum, Электрумовый укрепленный лук
thermalfoundation:tool.fishing_rod_electrum, Электрумовая удочка
thermalfoundation:tool.shears_electrum, Электрумовые ножницы
thermalfoundation:tool.sickle_electrum, Электрумовый серп
thermalfoundation:tool.hammer_electrum, Электрумовый молот
thermalfoundation:tool.shield_electrum, Электрумовый щит
thermalfoundation:tool.sword_invar, Инваровый меч
thermalfoundation:tool.shovel_invar, Инваровая лопата
thermalfoundation:tool.pickaxe_invar, Инваровая кирка
thermalfoundation:tool.axe_invar, Инваровый топор
thermalfoundation:tool.hoe_invar, Инваровая мотыга
thermalfoundation:tool.bow_invar, Инваровый укрепленный лук
thermalfoundation:tool.fishing_rod_invar, Инваровая удочка
thermalfoundation:tool.shears_invar, Инваровые ножницы
thermalfoundation:tool.sickle_invar, Инваровый серп
thermalfoundation:tool.hammer_invar, Инваровый молот
thermalfoundation:tool.shield_invar, Инваровый щит
thermalfoundation:tool.sword_bronze, Бронзовый меч
thermalfoundation:tool.shovel_bronze, Бронзовая лопата
thermalfoundation:tool.pickaxe_bronze, Бронзовая кирка
thermalfoundation:tool.axe_bronze, Бронзовый топор
thermalfoundation:tool.hoe_bronze, Бронзовая мотыга
thermalfoundation:tool.bow_bronze, Бронзовый укрепленный лук
thermalfoundation:tool.fishing_rod_bronze, Бронзовая удочка
thermalfoundation:tool.shears_bronze, Бронзовые ножницы
thermalfoundation:tool.sickle_bronze, Бронзовые серп
thermalfoundation:tool.hammer_bronze, Бронзовый молот
thermalfoundation:tool.shield_bronze, Бронзовый щит
thermalfoundation:tool.sword_constantan, Константановый меч
thermalfoundation:tool.shovel_constantan, Константановая лопата
thermalfoundation:tool.pickaxe_constantan, Константановая кирка
thermalfoundation:tool.axe_constantan, Константановый топор
thermalfoundation:tool.hoe_constantan, Константановая мотыга
thermalfoundation:tool.bow_constantan, Константановый укрепленный лук
thermalfoundation:tool.fishing_rod_constantan, Константановая удочка
thermalfoundation:tool.shears_constantan, Константановые ножницы
thermalfoundation:tool.sickle_constantan, Константановый серп
thermalfoundation:tool.hammer_constantan, Константановый молот
thermalfoundation:tool.shield_constantan, Константановый щит
thermalfoundation:tool.shears_wood, Деревянные ножницы
thermalfoundation:tool.sickle_wood, Деревянный серп
thermalfoundation:tool.hammer_wood, Деревянный молот
thermalfoundation:tool.bow_stone, Каменный укрепленный лук
thermalfoundation:tool.fishing_rod_stone, Каменная удочка
thermalfoundation:tool.shears_stone, Каменные ножницы
thermalfoundation:tool.sickle_stone, Каменный серп
thermalfoundation:tool.hammer_stone, Каменный молот
thermalfoundation:tool.shield_stone, Каменный щит
thermalfoundation:tool.bow_iron, Железный укрепленный лук
thermalfoundation:tool.fishing_rod_iron, Железная удочка
thermalfoundation:tool.sickle_iron, Железный серп
thermalfoundation:tool.hammer_iron, Железный молот
thermalfoundation:tool.shield_iron, Железный щит
thermalfoundation:tool.bow_diamond, Алмазный укрепленный лук
thermalfoundation:tool.fishing_rod_diamond, Алмазная удочка
thermalfoundation:tool.shears_diamond, Алмазные ножницы
thermalfoundation:tool.sickle_diamond, Алмазный серп
thermalfoundation:tool.hammer_diamond, Алмазный молот
thermalfoundation:tool.shield_diamond, Алмазный щит
thermalfoundation:tool.bow_gold, Золотой укрепленный лук
thermalfoundation:tool.fishing_rod_gold, Золотая удочка
thermalfoundation:tool.shears_gold, Золотые ножницы
thermalfoundation:tool.sickle_gold, Золотой серп
thermalfoundation:tool.hammer_gold, Золотой молот
thermalfoundation:tool.shield_gold, Золотой щит
thermalfoundation:horse_armor_copper, Медная броня лошади
thermalfoundation:horse_armor_tin, Оловянная броня лошади
thermalfoundation:horse_armor_silver, Серебряная броня лошади
thermalfoundation:horse_armor_lead, Свинцовая броня лошади
thermalfoundation:horse_armor_aluminum, Алюминиевая броня лошади
thermalfoundation:horse_armor_nickel, Никелевая броня лошади
thermalfoundation:horse_armor_platinum, Платиновая броня лошади
thermalfoundation:horse_armor_steel, Стальная броня лошади
thermalfoundation:horse_armor_electrum, Электрумовая броня лошади
thermalfoundation:horse_armor_invar, Инваровая броня лошади
thermalfoundation:horse_armor_bronze, Бронзовая броня лошади
thermalfoundation:horse_armor_constantan, Константановая броня лошади
thermalfoundation:fluid_crude_oil, Сырая нефть
thermalfoundation:fluid_redstone, Дестабилизированный красный камень
thermalfoundation:fluid_glowstone, Заряженный светящийся камень
thermalfoundation:fluid_ender, Резонирующий эндериум
thermalfoundation:fluid_pyrotheum, Пылающий пиротеум
thermalfoundation:fluid_cryotheum, Ледяной криотеум
thermalfoundation:fluid_aerotheum, Невесомый аэротеум
thermalfoundation:fluid_petrotheum, Тектонический петротеум
thermalfoundation:fluid_mana, Изначальная мана
thermalexpansion:machine:0, Красная печь (Основной)
thermalexpansion:machine:1, Измельчитель (Основной)
thermalexpansion:machine:2, Лесопилка (Основной)
thermalexpansion:machine:3, Индукционная плавильня (Основной)
thermalexpansion:machine:4, Фитогенный светильник (Основной)
thermalexpansion:machine:5, Компактор (Основной)
thermalexpansion:machine:6, Магмовый тигель (Основной)
thermalexpansion:machine:7, Дистилятор (Основной)
thermalexpansion:machine:8, Распределитель жидкостей (Основной)
thermalexpansion:machine:9, Энергетический зарядник (Основной)
thermalexpansion:machine:10, Центробежный разделитель (Основной)
thermalexpansion:machine:11, Цикличный сборщик (Основной)
thermalexpansion:machine:12, Алхимическая зельеварка (Основной)
thermalexpansion:machine:13, Тайный энсорцеллатор (Основной)
thermalexpansion:machine:14, Ледниковый осадитель (Основной)
thermalexpansion:machine:15, Вулканический пресс (Основной)
thermalexpansion:device:0, Генератор воды
thermalexpansion:device:1, Аннулятор
thermalexpansion:device:2, Термальный посредник
thermalexpansion:device:3, Древесный выжиматель
thermalexpansion:device:4, Водный крючок
thermalexpansion:device:5, Предметный распределитель
thermalexpansion:device:6, Жидкостный распределитель
thermalexpansion:device:7, Лексический трансмутатор
thermalexpansion:device:8, Проницательный конденсатор
thermalexpansion:device:9, Декорирующий рассеиватель
thermalexpansion:device:10, Факторизер
thermalexpansion:device:11, Инкапсулятор существ
thermalexpansion:device:12, Vacuumulator
thermalexpansion:dynamo:0, Паровой генератор (Основной)
thermalexpansion:dynamo:1, Магмовый генератор (Основной)
thermalexpansion:dynamo:2, Компрессионный генератор (Основной)
thermalexpansion:dynamo:3, Реагентный генератор (Основной)
thermalexpansion:dynamo:4, Ослабленный генератор (Основной)
thermalexpansion:dynamo:5, Нумизматический генератор (Основной)
thermalexpansion:cell:0, Энергетическая ячейка (Основной)
thermalexpansion:tank:0, Переносной резервуар (Основной)
thermalexpansion:cache:0, Тайник (Основной)
thermalexpansion:strongbox:0, Коробка (Основной)
thermalexpansion:capacitor:0, Флаксовый конденсатор (основной)
thermalexpansion:capacitor:1, Флаксовый конденсатор (усиленный)
thermalexpansion:capacitor:2, Флаксовый конденсатор (укреплённый)
thermalexpansion:capacitor:3, Флаксовый конденсатор (синаловый)
thermalexpansion:capacitor:4, Флаксовый конденсатор (резонирующий)
thermalexpansion:capacitor:32000, Флаксовый конденсатор (творческий)
thermalexpansion:reservoir:0, Резервуар (основной)
thermalexpansion:reservoir:1, Резервуар (усиленный)
thermalexpansion:reservoir:2, Резервуар (укреплённый)
thermalexpansion:reservoir:3, Резервуар (синаловый)
thermalexpansion:reservoir:4, Резервуар (резонирующий)
thermalexpansion:reservoir:32000, Резервуар (творческий)
thermalexpansion:satchel:0, Сумка (основная)
thermalexpansion:satchel:1, Сумка (усиленная)
thermalexpansion:satchel:2, Сумка (укреплённая)
thermalexpansion:satchel:3, Сумка (синаловая)
thermalexpansion:satchel:4, Сумка (резонирующая)
thermalexpansion:satchel:100, Сумка (пустотная)
thermalexpansion:satchel:32000, Сумка (творческая)
thermalexpansion:frame:0, Рамка механизма
thermalexpansion:frame:64, Рамка устройства
thermalexpansion:frame:128, Рамка энергетической ячейки
thermalexpansion:frame:129, Рамка усиленной энергетической ячейки
thermalexpansion:frame:130, Рамка укреплённой энергетической ячейки (пустая)
thermalexpansion:frame:131, Рамка синаловой энергетической ячейки (пустая)
thermalexpansion:frame:132, Рамка резонирующей энергетической ячейки (пустая)
thermalexpansion:frame:146, Рамка укреплённой энергетической ячейки (полная)
thermalexpansion:frame:147, Рамка синаловой энергетической ячейки (полная)
thermalexpansion:frame:148, Рамка резонирующей энергетической ячейки (полная)
thermalexpansion:augment:128, Расширение: Вспомогательная катушка приема
thermalexpansion:augment:129, Расширение: Вспомогательное сито
thermalexpansion:augment:130, Расширение: Камера аннулирования
thermalexpansion:augment:256, Расширение: Тривекционная камера
thermalexpansion:augment:257, Расширение: Флаксовый анодизатор
thermalexpansion:augment:258, Расширение: Пиролитический преобразователь
thermalexpansion:augment:273, Расширение: Тектонический инициатор
thermalexpansion:augment:288, Расширение: Воронка для смолы
thermalexpansion:augment:303, Расширение: Металлургический восстановитель
thermalexpansion:augment:304, Расширение: Пиро-Концентратор
thermalexpansion:augment:320, Расширение: Восстановитель питательных веществ
thermalexpansion:augment:323, Расширение: Саженец инфузер
thermalexpansion:augment:324, Расширение: Монокультурный цикл
thermalexpansion:augment:336, Расширение: Numismatic Press
thermalexpansion:augment:337, Расширение: Механическое оружие
thermalexpansion:augment:352, Расширение: Пироконвективная петля
thermalexpansion:augment:368, Расширение: Рефлаксовый столб
thermalexpansion:augment:369, Расширение: Алхимическая реторта
thermalexpansion:augment:400, Расширение: Концентратор связи потоков
thermalexpansion:augment:401, Расширение: Флаксовый реконструитель
thermalexpansion:augment:402, Расширение: Параболическая флаксовая муфта
thermalexpansion:augment:416, Расширение: Аппарат для предварительной установки
thermalexpansion:augment:432, Расширение: Проверка шаблона
thermalexpansion:augment:433, Расширение: Флюидовое производство
thermalexpansion:augment:448, Расширение: Реагентный восстановитель
thermalexpansion:augment:496, Расширение: Пирокластические инъекции
thermalexpansion:augment:497, Расширение: Осколочное осаждение
thermalexpansion:augment:512, Расширение: Вспомогательная катушка передачи
thermalexpansion:augment:513, Расширение: Топливный катализатор
thermalexpansion:augment:514, Расширение: Канал отдающей катушки
thermalexpansion:augment:515, Расширение: Ограничитель поля намагничивания
thermalexpansion:augment:576, Расширение: Преобразующий бойлер
thermalexpansion:augment:640, Расширение: Преобразующая турбина
thermalexpansion:augment:656, Расширение: Изэнтропическое водохранилище
thermalexpansion:augment:672, Расширение: Охлаждение с закрытым контуром
thermalexpansion:augment:673, Расширение: Свеча зажигания
thermalexpansion:augment:674, Расширение: Agitative Manifold
thermalexpansion:augment:688, Расширение: Элементарный катализатор
thermalexpansion:augment:704, Расширение: Дизъюнктивное извлечение
thermalexpansion:augment:720, Расширение: Лапидарная калибровка
thermalexpansion:florb:0, Florb (Пусто§r)
thermalexpansion:florb:1, Magmatic Florb (Пусто§r)
thermalexpansion:morb:0, Морб (Пусто§r)
thermalexpansion:morb:1, Многоразовый Морб (Пусто§r)
jaff:tank, Fish Tank
jaff:fish_bucket_cod, Bucket with Cod
jaff:fish_bucket_salmon, Bucket with Salmon
jaff:fish_bucket_clownfish, Bucket with Clownfish
jaff:fish_bucket_pufferfish, Bucket with Pufferfish
jaff:iron_hook, Iron Fish Hook
jaff:fish_bones, Fish Bones
jaff:wooden_fishing_rod, Wooden Fishing Rod
jaff:iron_fishing_rod, Iron Fishing Rod
jaff:golden_fishing_rod, Gold Fishing Rod
jaff:diamond_fishing_rod, Diamond Fishing Rod
malisisblocks:vanishing_block, tile.vanishing_block.name
malisisblocks:vanishingcopier, item.vanishingCopier.name
malisisblocks:block_mixer, Смешиватель блоков
malisisblocks:mixed_block, Смешанный блок
malisisblocks:player_sensor, Датчик игрока
malisisblocks:swapper, Swapper
malisisdoors:wood_sliding_door, Деревянная стеклянная дверь
malisisdoors:iron_sliding_door, Железная стеклянная дверь
malisisdoors:jail_door, Тюремная дверь
malisisdoors:laboratory_door, Лабораторная дверь
malisisdoors:factory_door, Фабричная дверь
malisisdoors:shoji_door, Дверь Сёдзи
malisisdoors:curtain_white, Белая штора
malisisdoors:curtain_orange, Оранжевая штора
malisisdoors:curtain_magenta, Пурпурная штора
malisisdoors:curtain_light_blue, Голубая штора
malisisdoors:curtain_yellow, Жёлтая штора
malisisdoors:curtain_lime, Лаймовая штора
malisisdoors:curtain_pink, Розовая штора
malisisdoors:curtain_gray, Серая штора
malisisdoors:curtain_silver, Светло-серая штора
malisisdoors:curtain_cyan, Бирюзовая штора
malisisdoors:curtain_purple, Фиолетовая штора
malisisdoors:curtain_blue, Синяя штора
malisisdoors:curtain_brown, Коричневая штора
malisisdoors:curtain_green, Зелёная штора
malisisdoors:curtain_red, Красная штора
malisisdoors:curtain_black, Чёрная штора
malisisdoors:customdooritem, Пользовательская дверь
malisisdoors:saloon, Дверь салуна
malisisdoors:sliding_trapdoor, Задвижной люк
malisisdoors:trapdoor_acacia, Люк из акации
malisisdoors:trapdoor_birch, Люк из берёзы
malisisdoors:trapdoor_dark_oak, Люк из тёмного дуба
malisisdoors:trapdoor_jungle, Люк из тропического дерева
malisisdoors:trapdoor_spruce, Люк из ели
malisisdoors:camofencegate, Камуфляжная калитка
malisisdoors:verticalhatch, Бронированная дверь
malisisdoors:garage_door, Гаражная дверь
malisisdoors:carriage_door, Дверь-фрейм
malisisdoors:medieval_door, Средневековая дверь
malisisdoors:big_door_oak_3x3, Large Oak Double Doors
malisisdoors:big_door_spruce_3x3, Large Spruce Double Doors
malisisdoors:big_door_birch_3x3, Large Birch Double Doors
malisisdoors:big_door_jungle_3x3, Large Jungle Double Doors
malisisdoors:big_door_acacia_3x3, Large Acacia Double Doors
malisisdoors:big_door_dark_oak_3x3, Large Dark Oak Double Doors
malisisdoors:big_door_iron_3x3, Large Iron Double Doors
malisisdoors:big_door_rusty_3x3, Large Rusty Iron Double Doors
malisisdoors:rustyhatch, Ржавый люк
malisisdoors:rustyhandle, Ржавый вентиль
malisisdoors:rustyladder, Ржавая лестница
malisisdoors:door_factory, Дверная фабрика
malisisdoors:forcefielditem, Контроллер силового поля
malisisdoors:hitechdoor, Высокотехнологичная дверь
rustic:olive_oil, Оливковое масло
rustic:ironberry_juice, Сок железных ягод
rustic:wildberry_juice, Сок лесных ягод
rustic:grape_juice, Виноградный сок
rustic:apple_juice, Яблочный сок
rustic:ale_wort, Пивное сусло
rustic:honey, Мёд
rustic:stone_pillar, Каменная колонна
rustic:andesite_pillar, Колонна из андезита
rustic:diorite_pillar, Колонна из диорита
rustic:granite_pillar, Гранитная колонна
rustic:slate_pillar, Сланцевая колонна
rustic:chain, Железная цепь
rustic:candle, Свеча
rustic:chandelier, Люстра
rustic:beehive, Пчелиное гнездо
rustic:apiary, Пасечный улей
rustic:slate, Сланец
rustic:slate_roof, Сланцевая крыша
rustic:slate_tile, Сланцевый блок
rustic:slate_brick, Сланцевый кирпич
rustic:slate_chiseled, Резной сланцевый блок
rustic:stairs_slate_roof, Лестница сланцевой крыши
rustic:slate_roof_slab_item, Половинка сланцевой крыши
rustic:stairs_slate_brick, Лездника из сланцевого кирпича
rustic:slate_brick_slab_item, Половинка сланцевого кирпича
rustic:clay_wall, Глиняная стена
rustic:clay_wall_cross, Глиняная стена
rustic:clay_wall_diag, Глиняная стена
rustic:chair_oak, Стул из дуба
rustic:chair_big_oak, Стул из темного дуба
rustic:chair_birch, Стул из березы
rustic:chair_spruce, Стул из сосны
rustic:chair_acacia, Стул из акации
rustic:chair_jungle, Стуз из тропического дерева
rustic:chair_olive, Стул из оливы
rustic:chair_ironwood, Стул из железного дерева
rustic:table_oak, Стол из дуба
rustic:table_big_oak, Стол из темного дуба
rustic:table_birch, Стол из березы
rustic:table_spruce, Стол из сосны
rustic:table_acacia, Стол из акации
rustic:table_jungle, Стол из тропического дерева
rustic:table_olive, Стол из оливы
rustic:table_ironwood, Стол из железного дерева
rustic:vase, Кувшин
rustic:barrel, Бочка
rustic:iron_lattice, Железная решетка
rustic:iron_lantern, Железный фонарь
rustic:gargoyle, Гаргулья
rustic:cabinet, Тумбочка
rustic:liquid_barrel, Бочка для жидкостей
rustic:fertile_soil, Плодородная почва
rustic:planks:0, Доски из оливы
rustic:planks:1, Доски из железного дерева
rustic:log:0, Оливковая древесина
rustic:log:1, Железная древесина
rustic:leaves:0, Листва оливы
rustic:leaves:1, Листва железного дерева
rustic:sapling:0, Саженец оливы
rustic:sapling:1, Саженец железного дерева
rustic:crushing_tub, Ступа
rustic:evaporating_basin, Поднос
rustic:fence_olive, Забор из оливы
rustic:fence_ironwood, Забор из железного дерева
rustic:fence_gate_olive, Калитка из оливы
rustic:fence_gate_ironwood, Калитка из железного дерева
rustic:olive_slab_item, Половинка досок из оливы
rustic:ironwood_slab_item, Половинка досок из железного дерева
rustic:stairs_olive, Лестница из оливы
rustic:stairs_ironwood, Лестница из железного дерева
rustic:condenser, Конденсер
rustic:retort, Реторта
rustic:condenser_advanced, Улучшенный конденсер
rustic:retort_advanced, Улучшенная реторта
rustic:crop_stake, Деревянный столб
rustic:wildberry_bush, Куст лесных ягод
rustic:rope, Веревка
rustic:grape_stem, Семена винограда
rustic:brewing_barrel, Пивной бочонок
rustic:apple_seeds, Семена яблони
rustic:sapling_apple, Саженец яблони
rustic:leaves_apple, Яблоневая листва
rustic:olive_door, Дверь из оливы
rustic:ironwood_door, Дверь из железного дерева
rustic:aloe_vera, Алоэ
rustic:blood_orchid, Кровавая орхидея
rustic:chamomile, Ромашка
rustic:cohosh, Воронец
rustic:deathstalk_mushroom, Гриб Смерти
rustic:horsetail, Хвощ
rustic:mooncap_mushroom, Лунный гриб
rustic:wind_thistle, Чертополох
rustic:cloudsbluff, Клаудсблуф
rustic:core_root, Корень Основ
rustic:ginseng, Женьшень
rustic:marsh_mallow, Алтей
rustic:book, Альманах
rustic:bee, Пчелка
rustic:honeycomb, Медовые соты
rustic:beeswax, Пчелиный воск
rustic:tallow, Жир
rustic:olives, Оливки
rustic:ironberries, Железные ягоды
rustic:fluid_bottle, Пузырек (%s)
rustic:dust_tiny_iron, Маленькая кучка железной пыли
rustic:elixir, item.rustic.elixir.name
rustic:tomato, Помидор
rustic:tomato_seeds, Семена помидора
rustic:chili_pepper, Перец
rustic:chili_pepper_seeds, Семена перца
rustic:wildberries, Лесные ягоды
rustic:grapes, Виноград
rusticthaumaturgy:cinderfire_wort, Cinderfire Wort
rusticthaumaturgy:shimmerdew_wort, Shimmerdew Wort
rusticthaumaturgy:viscous_wort, Viscous Wort
rusticthaumaturgy:chair_greatwood, Greatwood Chair
rusticthaumaturgy:chair_silverwood, Silverwood Chair
rusticthaumaturgy:table_greatwood, Greatwood Table
rusticthaumaturgy:table_silverwood, Silverwood Table
rusticthaumaturgy:dust_tiny_blaze,  Tiny Pile of Blaze Dust
rusticthaumaturgy:cindermote, Cindermote
rusticthaumaturgy:shimmerpetal, Shimmerpetal
rusticthaumaturgy:viscap, Viscap
rusticthaumaturgy:cindermote_seeds, Cindermote Seeds
rusticthaumaturgy:shimmerpetal_bulb, Shimmerdew Bulb
rusticthaumaturgy:viscap_spores, Viscap Spores
biomesoplenty:grass:0, Спектральный Мох
biomesoplenty:grass:1, Заросший Камень
biomesoplenty:grass:2, Глинистый Блок Травы
biomesoplenty:grass:3, Песчаный Блок Травы
biomesoplenty:grass:4, Илистый Блок Травы
biomesoplenty:grass:5, Изначальный Блок Травы
biomesoplenty:grass:6, Заросший Адский Камень
biomesoplenty:grass:7, Цветущий Блок Травы
biomesoplenty:grass:8, Мицелиевый Адский Камень
biomesoplenty:dirt:8, Грубая Глинистая Земля
biomesoplenty:dirt:0, Глинистая Земля
biomesoplenty:dirt:9, Грубая Песчаная Земля
biomesoplenty:dirt:1, Песчаная Земля
biomesoplenty:dirt:10, Грубая Илистая Земля
biomesoplenty:dirt:2, Илистая Земля
biomesoplenty:grass_path:0, Глинистая Тропинка
biomesoplenty:grass_path:1, Песчаная Тропинка
biomesoplenty:grass_path:2, Илистая Тропинка
biomesoplenty:farmland_0:0, Глинистая Пашня
biomesoplenty:farmland_0:1, Песчаная Пашня
biomesoplenty:farmland_1:0, Илистая Пашня
biomesoplenty:white_sand:0, Белый Песок
biomesoplenty:white_sandstone:0, Белый Песчаник
biomesoplenty:white_sandstone:1, Резной Белый Песчаник
biomesoplenty:white_sandstone:2, Гладкий Белый Песчаник
biomesoplenty:white_sandstone_stairs:0, Ступеньки из Белого Песчаника
biomesoplenty:dried_sand:0, Сухой Песок
biomesoplenty:hard_ice:0, Затвердевший Лёд
biomesoplenty:ash_block:0, Пепельный Блок
biomesoplenty:mud:0, Грязь
biomesoplenty:flesh:0, Плоть
biomesoplenty:crystal:0, Небесный Кристалл
biomesoplenty:biome_block:0, Руда Эссенции Биома
biomesoplenty:gem_ore:0, Аметистовая Руда из Края
biomesoplenty:gem_ore:1, Рубиновая Руда
biomesoplenty:gem_ore:2, Хризолитовая Руда
biomesoplenty:gem_ore:3, Топазовая Руда
biomesoplenty:gem_ore:4, Танзанитовая Руда
biomesoplenty:gem_ore:5, Малахитовая Руда
biomesoplenty:gem_ore:6, Сапфировая Руда
biomesoplenty:gem_ore:7, Янтарная Руда
biomesoplenty:gem_block:0, Блок Аметиста
biomesoplenty:gem_block:1, Блок Рубина
biomesoplenty:gem_block:2, Блок Хризолита
biomesoplenty:gem_block:3, Блок Топаза
biomesoplenty:gem_block:4, Блок Танзанита
biomesoplenty:gem_block:5, Блок Малахита
biomesoplenty:gem_block:6, Блок Сапфира
biomesoplenty:gem_block:7, Блок Янтаря
biomesoplenty:hive:0, Блок Улья
biomesoplenty:hive:1, Блок Медового Сота
biomesoplenty:hive:2, Пустой Блок Медового Сота
biomesoplenty:hive:3, Заполненный Блок Медового Сота
biomesoplenty:honey_block:0, Медовый Блок
biomesoplenty:blue_fire:0, Синий Огонёк
biomesoplenty:bamboo_thatching:0, Бамбуковая Солома
biomesoplenty:mud_brick_block:0, Кирпичи из Грязи
biomesoplenty:mud_brick_stairs:0, Ступеньки из Грязи
biomesoplenty:other_slab:0, Плитка из Грязи
biomesoplenty:other_slab:1, Плита из Белого Песчаника
biomesoplenty:log_0:4, Священный Дуб
biomesoplenty:log_0:5, Вишнёвое Дерево
biomesoplenty:log_0:6, Теневое Дерево
biomesoplenty:log_0:7, Пихта
biomesoplenty:log_1:4, Эфирное Дерево
biomesoplenty:log_1:5, Магическое Дерево
biomesoplenty:log_1:6, Мангровое Дерево
biomesoplenty:log_1:7, Пальма
biomesoplenty:log_2:4, Красное Дерево
biomesoplenty:log_2:5, Ива
biomesoplenty:log_2:6, Сосна
biomesoplenty:log_2:7, Адское Дерево
biomesoplenty:log_3:4, Жакаранда
biomesoplenty:log_3:5, Махагони
biomesoplenty:log_3:6, Эбеновое Дерево
biomesoplenty:log_3:7, Эвкалипт
biomesoplenty:log_4:4, Стебель Гигантского Цветка
biomesoplenty:log_4:5, Мёртвое Дерево
biomesoplenty:leaves_0:8, Пожелтевшие Осенние Листья
biomesoplenty:leaves_0:9, Покрасневшие Осенние Листья
biomesoplenty:leaves_0:10, Бамбуковые Листья
biomesoplenty:leaves_0:11, Магические Листья
biomesoplenty:leaves_1:8, Теневые Листья
biomesoplenty:leaves_1:9, Мертвые Листья
biomesoplenty:leaves_1:10, Пихтовые Листья
biomesoplenty:leaves_1:11, Эфирные Листья
biomesoplenty:leaves_2:8, Изначальные Листья
biomesoplenty:leaves_2:9, Розовые Вишнёвые Листья
biomesoplenty:leaves_2:10, Белые Вишнёвые Листья
biomesoplenty:leaves_2:11, Клёновые Листья
biomesoplenty:leaves_3:8, Листья Адского Дерева
biomesoplenty:leaves_3:9, Листья Цветущий Дуба
biomesoplenty:leaves_3:10, Жакарандовые Листья
biomesoplenty:leaves_3:11, Листья Священного Дуба
biomesoplenty:leaves_4:8, Мангровые Листья
biomesoplenty:leaves_4:9, Пальмовые Листья
biomesoplenty:leaves_4:10, Листья Красного Дерева
biomesoplenty:leaves_4:11, Ивовые Листья
biomesoplenty:leaves_5:8, Сосновые Листья
biomesoplenty:leaves_5:9, Махагоневые Листья
biomesoplenty:leaves_5:10, Эбеновые Листья
biomesoplenty:leaves_5:11, Эвкалиптовые Листья
biomesoplenty:leaves_6:8, Лепесток Красного Гигантского Цветка
biomesoplenty:leaves_6:9, Лепесток Жёлтого Гигантского Цветка
biomesoplenty:planks_0:0, Доски из Священного Дуба
biomesoplenty:planks_0:1, Вишнёвые Доски
biomesoplenty:planks_0:2, Теневые Доски
biomesoplenty:planks_0:3, Пихтовые Доски
biomesoplenty:planks_0:4, Эфирные Доски
biomesoplenty:planks_0:5, Магические Доски
biomesoplenty:planks_0:6, Мангровые Доски
biomesoplenty:planks_0:7, Пальмовые Доски
biomesoplenty:planks_0:8, Доски из Красного Дерева
biomesoplenty:planks_0:9, Ивовые Доски
biomesoplenty:planks_0:10, Сосновые Доски
biomesoplenty:planks_0:11, Доски из Адского Дерева
biomesoplenty:planks_0:12, Жакарандовые Доски
biomesoplenty:planks_0:13, Махагоновые Доски
biomesoplenty:planks_0:14, Эбеновые Доски
biomesoplenty:planks_0:15, Эвкалиптовые Доски
biomesoplenty:sacred_oak_stairs:0, Ступеньки из Священного Дуба
biomesoplenty:cherry_stairs:0, Лестница Вишнёвого Дерева
biomesoplenty:umbran_stairs:0, Теневые Ступеньки
biomesoplenty:fir_stairs:0, Пихтовые Ступеньки
biomesoplenty:ethereal_stairs:0, Эфирные Ступеньки
biomesoplenty:magic_stairs:0, Ступеньки из Магического Дерева
biomesoplenty:mangrove_stairs:0, Мангровые Ступеньки
biomesoplenty:palm_stairs:0, Пальмовые Ступеньки
biomesoplenty:redwood_stairs:0, Ступеньки из Красного Дерева
biomesoplenty:willow_stairs:0, Ивовые Ступеньки
biomesoplenty:pine_stairs:0, Сосновые Ступеньки
biomesoplenty:hellbark_stairs:0, Ступеньки из Адского Дерева
biomesoplenty:jacaranda_stairs:0, Жакарандовые Ступеньки
biomesoplenty:mahogany_stairs:0, Махагоновые Ступеньки
biomesoplenty:ebony_stairs:0, Эбеновые Ступеньки
biomesoplenty:eucalyptus_stairs:0, Эвкалиптовые Ступеньки
biomesoplenty:wood_slab_0:0, Плита из Священного Дуба
biomesoplenty:wood_slab_0:1, Плита Вишнёвого Дерева
biomesoplenty:wood_slab_0:2, Теневая Плитка
biomesoplenty:wood_slab_0:3, Пихтовый Плитка
biomesoplenty:wood_slab_0:4, Эфирная Плитка
biomesoplenty:wood_slab_0:5, Плита из Магического Дерева
biomesoplenty:wood_slab_0:6, Мангровая Плитка
biomesoplenty:wood_slab_0:7, Пальмовая Плитка
biomesoplenty:wood_slab_1:0, Плитка из Красного Дерева
biomesoplenty:wood_slab_1:1, Ивоваа Плитка
biomesoplenty:wood_slab_1:2, Сосновая Плитка
biomesoplenty:wood_slab_1:3, Плита из Адского Дерева
biomesoplenty:wood_slab_1:4, Жакарандовая Плитка
biomesoplenty:wood_slab_1:5, Махагоновая Плитка
biomesoplenty:wood_slab_1:6, Эбоновая Плитка
biomesoplenty:wood_slab_1:7, Эвкалиптовая Плитка
